hex	en	zh
#FFE6C3	Neutral Peach	中性桃
#8B694D	Neutral Valley	中性山谷
#ECEDE8	Neutral White	中性白
#01248F	Neutrino Blue	中微子蓝
#666F6F	Nevada	内华达州
#FFD5A7	Nevada Morning	内华达早晨
#EAD5B9	Nevada Sand	内华达沙
#A1D9E7	Nevada Sky	内华达天空
#6E6455	Never Cry Wolf	狼来了
#A67283	Never Forget	永远不会忘记
#666556	Nevergreen	永青
#9CE5D6	Neverland	梦幻岛
#7BC8F6	Nevermind Nirvana	无所谓涅槃
#403940	Nevermore	不再
#13181B	Neverything	什么都没有
#496EAD	New Age Blue	新时代蓝
#6D3B24	New Amber	新琥珀
#BDB264	New Avocado	新牛油果
#D8DECE	New Baby Smell	新婴儿的气味
#ADAC84	New Bamboo	新竹
#934C3D	New Brick	新砖
#CB4154	New Brick Red	新砖红
#482427	New Bulgarian Rose	新保加利亚玫红
#214FC6	New Car	新车
#A28367	New Chestnut	新栗
#EFC1B5	New Clay	新黏土
#B89B6B	New Cork	新软木
#EDE0C0	New Cream	新奶油
#DA9A21	New England Autumn	新英格兰秋
#AD7065	New England Brick	新英格兰砖
#AA7755	New England Roast	新英格兰烤肉
#C9A171	New Fawn	新小鹿
#C2BC90	New Foliage	新叶
#47514D	New Forest	新森林
#BACCA0	New Frond	新叶
#EAD151	New Gold	新金
#B5AC31	New Green	新绿
#DBD5B7	New Growth	新成长
#EDDFC7	New Harvest Moon	新丰收月
#BD827F	New Haven Rose	新港湾玫红
#D0E5F2	New Heights	新高度
#E2EFC2	New Hope	新希望
#F1EDE7	New House White	新屋白
#4A5F58	New Hunter	新猎人绿
#7C1C05	New Kenyan Copper	新肯尼亚铜
#D9C7AA	New Khaki	新卡其
#7C916E	New Life	新生命
#9DC209	New Limerick	新利默里克
#C6BBDB	New Love	新爱
#48C09B	New Meadow	新草地
#DEAA89	New Mexico Mesa	新墨西哥梅萨
#B2BDBB	New Morn Fog	新晨雾
#C6D6C7	New Moss	新苔藓
#3B4A55	New Navy Blue	新海军蓝
#BEC0AA	New Neutral	新中性
#C3CDD2	New North	新北
#E4C385	New Orleans	新奥尔良
#95A294	New Patina	新铜绿
#A27D66	New Penny	新便士
#B1D9E9	New Prince	新王子
#EEEEE5	New Ream	新令
#691D6C	New Riders of the Purple Sage	新紫圣骑士
#875251	New Roof	新屋顶
#869E3E	New Shoot	新拍摄
#933C3C	New Sled	新雪橇
#738595	New Steel	新钢
#90ABBB	New Toile	新印花布
#D6C1DD	New Violet	新紫罗兰
#11FF11	New Wave Green	新波浪绿
#FF22FF	New Wave Pink	新波浪粉
#D2AF6F	New Wheat	新小麦
#D6C3B9	New Wool	新羊毛
#E8C247	New Yellow	新黄
#DD8374	New York Pink	新约克粉
#FF0059	New York Sunset	新约克日落
#F0E1DF	New Youth	新青年
#A0C4BE	New-Age Green	新时代绿色
#616550	Newbury Moss	纽伯里莫斯
#445A79	Newburyport	纽伯里波特
#B2C7E1	Newman’s Eye	纽曼之眼
#EAE2DC	Newmarket Sausage	纽马基特香肠
#1C8AC9	Newport Blue	纽波特蓝
#26566E	Newport Grey	纽波特格雷
#313D6C	Newport Indigo	纽波特靛蓝
#756F6D	Newsprint	新闻纸
#29A98B	Niagara	尼亚加拉
#CBE3EE	Niagara Falls	尼亚加拉瀑布
#C5E8EE	Niagara Mist	尼亚加拉薄雾
#7DC734	Niblet Green	尼布莱特绿
#107AB0	Nice Blue	漂亮的蓝色
#FAECD1	Nice Cream	好奶油
#DBA37E	Nice Tan	漂亮的棕褐色
#E6DDD5	Nice White	漂亮的白色
#65758F	Niche	利基
#84979A	Nichols Beach	尼科尔斯海滩
#909062	Nick’s Nook	尼克的角落
#929292	Nickel	镍
#537E7E	Nickel Ore Green	镍矿石绿
#C1C6BF	Nickel Plate	镍板
#CC7755	Nicotine Glaze	尼古丁釉
#EEBB33	Nicotine Gold	尼古丁金
#B6C3C4	Niebla Azul	涅布拉·阿祖尔
#019187	Nifty Turquoise	漂亮的绿松石
#613E3D	Night Bloom	夜绽放
#F9F7EC	Night Blooming Jasmine	夜盛开茉莉
#040348	Night Blue	夜蓝
#44281B	Night Brown	夜棕
#322D25	Night Brown Black	夜棕黑
#494B4E	Night Club	夜俱乐部
#201B20	Night Demons	夜魔
#003355	Night Dive	夜潜水
#20586D	Night Edition	夜间版
#572E89	Night Fever	夜发烧
#434D5C	Night Flight	夜间飞行
#2D1962	Night Fog	夜雾
#49646D	Night Folly	夜蠢事
#302F27	Night Green	夜绿
#45444D	Night Grey	夜灰
#615D5C	Night Gull Grey	夜鸥灰
#324AB2	Night in Manchester	曼彻斯特之夜
#443300	Night in the Woods	夜树林
#005572	Night Kite	夜风筝
#F8E8CD	Night Light	夜浅
#4C6177	Night Market	夜市场
#508793	Night Masque	夜间面膜
#5D3B41	Night Mauve	夜淡紫
#5E5C50	Night Mission	夜使命
#234E86	Night Mode	夜间模式
#9C96AF	Night Music	夜间音乐
#4F4F5E	Night Night	夜夜
#898487	Night on the Moors	荒野之夜
#656A6E	Night Out	夜
#5D7B89	Night Owl	夜猫头鹰
#11FFBB	Night Pearl	夜珍珠
#3C2727	Night Red	夜红
#66787E	Night Rendezvous	夜会
#332E2E	Night Rider	夜行者
#715055	Night Romance	夜浪漫
#B0807A	Night Rose	夜玫红
#0E737E	Night Scape	夜景
#A23D54	Night Shadz	夜沙兹
#2A5C6A	Night Shift	夜班
#292B31	Night Sky	夜天空
#756968	Night Skyscraper	夜摩天大楼
#AACCFF	Night Snow	夜雪
#254A57	Night Swim	夜泳
#6B7BA7	Night Thistle	夜蓟
#455360	Night Tide	夜潮汐
#4B7689	Night Train	夜行列车
#003833	Night Turquoise	夜青
#465560	Night View	夜景
#77BB55	Night Vision	夜视觉
#3C4F4E	Night Watch	守夜人
#E1E1DD	Night White	夜白
#D7E2DB	Night Wind	夜风
#313740	Night Wizard	暗夜精灵
#934C1D	Nightcap	睡帽
#43535E	Nightfall	夜幕降临
#0011DD	Nightfall in Suburbia	郊区的黄昏
#615452	Nighthawk	夜鹰
#234C47	Nighthawks	夜鹰
#5C4827	Nightingale	夜莺
#BAAEA3	Nightingale Grey	夜莺灰
#27426B	Nightlife	夜生活
#536078	Nightly	每晚
#2E5090	Nightly Activities	夜间活动
#9BEEC1	Nightly Aurora	夜间极光
#5A7D9A	Nightly Blade	夜刃
#0433FF	Nightly Escapade	夜间恶作剧
#221188	Nightly Expedition	夜间探险
#444940	Nightly Ivy	夜间常春藤
#4F5B93	Nightly Silhouette	夜间剪影
#784384	Nightly Violet	夜紫罗兰
#391531	Nightly Voyager	夜间航行者号
#544563	Nightly Walk	夜行
#013220	Nightly Woods	夜间森林
#112211	Nightmare	噩梦
#293135	Nightmare Fuel	噩梦燃料
#3C464B	Nightshade	龙葵
#1B1811	Nightshade Berries	龙葵莓
#535872	Nightshade Purple	龙葵紫
#A383AC	Nightshade Violet	龙葵紫罗兰
#555971	Nightshadow Blue	夜影蓝
#161D3B	Nightwalker	夜行者
#931121	Nigritella Red	黑质红
#A0D6B4	Nihilakh Oxide	尼希拉克氧化物
#0055FF	Nīlā Blue	Nīlā蓝
#AFB982	Nile	尼罗
#8B8174	Nile Clay	尼罗黏土
#99BE85	Nile Green	尼罗绿
#968F5F	Nile Reed	尼罗芦苇
#9AB6A9	Nile River	尼罗河
#BBAD94	Nile Sand	尼罗沙
#61C9C1	Nile Stone	尼罗石
#F1EBE0	Nilla Vanilla	妮拉香草
#747880	Nimbostratus	雨层云
#4422FF	Nimbus Blue	雨云蓝
#C8C8CC	Nimbus Cloud	雨云
#F5E3EA	Nina	妮娜
#46434A	Nine Iron	九铁
#FFEF19	Níng Méng Huáng Lemon	宁孟黄柠檬
#020308	Ninja	忍者
#75528B	Ninja Princess	忍者公主
#94B1A9	Ninja Turtle	忍者神龟
#E5AA70	Ninjin Orange	忍津橙
#BB7777	Nipple	乳头
#BC002C	Nippon	日本
#A2919B	Nirvana	涅槃
#64A5AD	Nirvana Jewel	涅槃宝石
#43242A	Nisemurasaki Purple	新濑紫
#056EEE	Níu Zǎi Sè Denim	牛仔色牛仔布
#404C02	No Emissions Green	无排放绿
#A33F40	No More Drama	不再有戏剧性
#FFD6DD	No Need to Blush	不用脸红
#FBAA95	No Way Rosé	不可能桃红葡萄酒
#F8E888	No$GMB Yellow	No$GMB黄
#F8D68B	№5	№5
#A99D9D	Nobel	诺贝尔奖
#ECDEC5	Nobility	贵族
#414969	Nobility Blue	贵族蓝
#202124	Noble Black	贵族黑
#697991	Noble Blue	贵族蓝
#E8B9B2	Noble Blush	贵族绯红
#990C0D	Noble Cause	崇高事业
#7E1E9C	Noble Cause Purple	高贵事业紫色
#6D4433	Noble Chocolate	贵族巧克力
#E1DACE	Noble Cream	贵族奶油
#8D755D	Noble Crown	贵族王冠
#627B44	Noble Eric	高贵的埃里克
#5A736D	Noble Fir	贵族冷杉
#C1BEB9	Noble Grey	贵族灰
#51384A	Noble Hatter’s Violet	贵族帽匠的紫罗兰
#69354F	Noble Honour	崇高荣誉
#394D78	Noble Knight	贵族骑士
#B28392	Noble Lilac	贵族丁香紫
#871F78	Noble Plum	贵族梅紫
#AFB1C5	Noble Purple	贵族紫
#92181D	Noble Red	贵族红
#807070	Noble Robe	贵族袍
#73777F	Noble Silver	贵族银
#884967	Noble Tone	贵族调
#524B50	Noblesse	贵族
#463636	Noblesse Oblige	贵族义务
#BC8E6C	Nobody but Ben	除了本，没有人
#646B77	Noctis	诺克提斯
#767D86	Nocturnal	夜间
#114C5A	Nocturnal Expedition	夜间探险
#675754	Nocturnal Flight	夜间飞行
#2F3738	Nocturnal Green	夜绿
#CC6699	Nocturnal Rose	夜行玫瑰
#0E6071	Nocturnal Sea	夜海
#344D58	Nocturne	夜曲
#37525F	Nocturne Blue	夜曲蓝
#7A4B56	Nocturne Red	夜曲红
#356FAD	Nocturne Shade	夜曲阴影
#BDBEBD	Noghrei Silver	诺格莱银
#312B27	Noir	黑
#150811	Noir Fiction	黑色小说
#1F180A	Noir Mystique	黑色神秘
#866745	Nom Nom	名义 名义
#A19986	Nomad	游牧者
#7E736F	Nomad Grey	游牧灰
#AF9479	Nomadic	游牧
#C7B198	Nomadic Desert	游牧沙漠
#DBDEDB	Nomadic Dream	游牧梦
#D2C6AE	Nomadic Taupe	游牧灰褐色
#E0C997	Nomadic Travels	游牧旅行
#357567	Nominee	提名者
#8A8DAA	Non Skid Grey	防滑灰
#A4DDED	Non-Photo Blue	非照片蓝色
#DD8811	Non-Stop Orange	不停橙
#C3F400	Non-Toxic Boyfriend	无毒男友
#DEDDD1	Nonchalant White	漫不经心的白
#C1A65C	Nonpareil Apple	无与伦比的苹果
#F5DDC4	Noodle Arms	面条臂
#F9E3B4	Noodles	面条
#99A9AD	Nor’wester	诺维斯特
#003333	Nora’s Forest	诺拉的森林
#1D393C	Nordic	北欧
#D3DDE7	Nordic Breeze	北欧微风
#317362	Nordic Forest	北欧森林
#1FAB58	Nordic Grass Green	北欧草绿
#003344	Nordic Noir	北欧暗色
#43694D	Nordic Pine	北欧松
#7E95AB	Nordland Blue	诺德兰蓝
#96AEC5	Nordland Light Blue	诺德兰浅蓝色
#2E7073	Nordmann Fir	诺德曼冷杉
#2E4B3C	Norfolk Green	诺福克格林
#6CBAE7	Norfolk Sky	诺福克天空
#112A12	Nori Green	海苔绿
#464826	Nori Seaweed Green	海苔绿
#E9C68E	Norman Shaw Goldspar	诺曼·肖·金石
#3D9DC2	Norse Blue	北欧蓝
#5E7B7F	North Atlantic	北大西洋
#3676B5	North Atlantic Breeze	北大西洋微风
#849C9D	North Beach Blue	北海滩蓝
#7A9595	North Cape Grey	北海角灰
#6A7777	North Grey	北灰
#BCB6B4	North Island	北岛
#D8A892	North Rim	北缘
#316C69	North Sea	北海
#343C4C	North Sea Blue	北海蓝
#F2DEA4	North Star	北星
#223399	North Star Blue	北星蓝
#059033	North Texas Green	北德州绿
#555A51	North Woods	北树林
#767962	Northampton Trees	北安普顿树
#D1DCDD	Northbound	北行
#948666	Northeast Trail	东北步道
#DE743C	Northern Barrens Dust	北贫瘠之地的尘埃
#E9DAD2	Northern Beach	北海滩
#BFC7D4	Northern Exposure	北国风光
#536255	Northern Glen	北谷
#017466	Northern Hemisphere	北半球
#778F8E	Northern Juniper	北杜松子
#C5C1A3	Northern Landscape	北风景
#A7AEB4	Northern Light Grey	北浅灰
#E6F0EA	Northern Lights	北光
#A3B9CD	Northern Pond	北池塘
#8DACCC	Northern Sky	北天空
#9CBACD	Northern Sky Blue	北天空蓝
#FFFFEA	Northern Star	北星
#5E463C	Northern Territory	北领地
#AAA388	Northgate Green	北门绿
#9E9181	Northpointe	北角
#B9F2FF	Northrend	诺森德
#CEE5E9	Northwind	北风
#A4B88F	Norway	挪威
#78888E	Norwegian Blue	挪威蓝
#8896AA	Norwegian Night	挪威夜
#B4CDDE	Norwegian Sky	挪威天空
#ACB597	Norwich Green	诺维奇格林
#FFE6EC	Nosegay	鼻花
#A9A8A8	Nosferatu	诺斯费拉图
#426579	Noshime Flower	野志花
#D6B8BD	Nostalgia	怀旧之情
#DBDBF7	Nostalgia Perfume	怀旧香水
#A2747D	Nostalgia Rose	怀旧玫瑰
#666C7E	Nostalgic	怀旧
#47626F	Nostalgic Evening	怀旧之夜
#85C8D3	Not a Cloud in Sight	看不见的云
#7E7D78	Not My Fault	不是我的错
#6A6968	Not so Innocent	不那么天真
#090615	Not Tonight	今晚不行
#B1714C	Not yet Caramel	还没有焦糖
#FFC12C	Not Yo Cheese	不是哟奶酪
#8BA7BB	Notable Hue	显着的色调
#E8EBE6	Notebook Paper	笔记本纸
#770F05	Notes of Plum	梅子香调
#D9BACC	Noteworthy	值得注意
#F2DEB9	Nothing Less	一点也不差
#BA8686	Notice Me	注意我
#BDA998	Notorious	臭名昭著
#664400	Notorious Neanderthal	臭名昭著的尼安德特人
#C6C5BC	Notre Dame	巴黎圣母院
#585D4E	Nottingham Forest	诺丁汉森林
#AE8A78	Nougat	牛轧糖
#7C503F	Nougat Brown	牛轧糖棕
#686F7E	Nouveau	新风格
#A05B42	Nouveau Copper	新铜
#B88127	Nouveau Green	新绿
#996872	Nouveau Rose	新玫瑰
#FFBB77	Nouveau-Riche	暴发户
#E1DCDA	Nouvelle White	新白
#D94F9A	Nova Pink	新星粉红
#F8EED9	Nova White	新星白
#C2A4C2	Novel Lilac	小说丁香
#9DB9D3	Novella Blue	中篇小说蓝色
#E3C7B2	Novelle Peach	中篇小说桃子
#515B62	Novelty Navy	新奇海军
#BE7767	November	十一月
#754D42	November Foliage	十一月叶
#F6B265	November Gold	十一月金
#767764	November Green	十一月绿
#F1B690	November Leaf	十一月叶
#EDE6E8	November Pink	十一月粉
#7CAFB9	November Skies	十一月天空
#423F3B	November Storms	十一月风暴
#89A203	Noxious	有毒
#E2E0D6	Nuance	细微差别
#ECF474	Nuclear Acid	核酸
#BBFF00	Nuclear Blast	核爆炸
#AA9900	Nuclear Fallout	核辐射
#EE9933	Nuclear Mango	核芒果
#44EE00	Nuclear Meltdown	核熔毁
#00DE00	Nuclear Throne	核王座
#7CFC00	Nuclear Waste	核废料
#E58F7C	Nude Flamingo	裸体火烈鸟
#B5948D	Nude Lips	裸唇
#BC9229	Nugget	金块
#BF961F	Nugget Gold	金块金
#B48395	Nuisette	努伊塞特
#1E488F	Nuit Blanche	不眠之夜
#14100E	Nuln Oil	努恩油
#171310	Nuln Oil Gloss	努恩油光泽
#E2E6DE	Numero Uno	数字乌诺
#F8F6E9	Nun Orchid	尼姑兰花
#9B8F22	Nurgle’s Rot	纳垢之腐
#B8CC82	Nurgling Green	纳垢绿
#EFD0D2	Nursery	托儿所
#EDF0DE	Nursery Green	苗圃绿
#F4D8E8	Nursery Pink	苗圃粉色
#9EBCB7	Nursery Wall	苗圃墙
#D7DCD5	Nurture	培育
#98B092	Nurture Green	培育绿色
#A1A97B	Nurturing	培育
#9D896C	Nurude Brown	努鲁德棕
#9E8A6D	Nut	坚果
#86695E	Nut Brown	坚果棕
#816C5B	Nut Cracker	胡桃夹子
#D7BEA4	Nut Flavour	坚果味
#D9CCC8	Nut Milk	坚果奶
#775D38	Nut Oil	坚果油
#8E725F	Nuthatch	五子雀
#445599	Nuthatch Back	五子雀回来
#7E4A3B	Nutmeg	肉豆蔻
#ECD9CA	Nutmeg Frost	肉豆蔻霜
#D8B691	Nutmeg Glow	肉豆蔻辉光
#683600	Nutmeg Wood Finish	肉豆蔻木饰面
#75663E	Nutria	海狸鼠
#514035	Nutria Fur Brown	海狸鼠毛皮棕色
#898C92	Nuts and Bolts	具体细节
#A9856B	Nutshell	简而言之
#F7D4C6	Nutter Butter	坚果黄油
#D4BCA3	Nutty Beige	坚果米色
#8A6F44	Nutty Brown	坚果棕色
#E9FFDB	Nyanza	尼安萨
#EFEAE8	NYC Apartment Wall	纽约公寓墙
#F7B731	NYC Taxi	纽约出租车
#0B0F1A	Nyctophobia	睡眠恐惧症
#4D587A	Nyctophobia Blue	夜视症蓝色
#E9E3CB	Nylon	尼龙
#AEC2A5	Nymph Green	若虫绿
#7B6C8E	Nymph’s Delight	仙女的喜悦
#CEE0E3	Nymphaeaceae	睡莲科
#5F6E77	NYPD	纽约警察局
#E1B8B5	O Fortuna	福尔图娜啊
#005522	O Tannenbaum	奥坦南鲍姆
#F3A347	O’Brien Orange	奥布莱恩橙
#58AC8F	O’grady Green	奥格雷迪·格林
#395643	O’Neal Green	奥尼尔·格林
#715636	Oak Barrel	橡桶
#A18D80	Oak Brown	橡棕
#CF9C63	Oak Buff	橡浅黄
#5D504A	Oak Creek	橡小溪
#CDB386	Oak Harbour	橡港湾
#BB6B41	Oak Palace	橡宫殿
#5D4F39	Oak Plank	橡木板
#C0B0AB	Oak Ridge	橡山岭
#EED8C2	Oak Shaving	橡木刨花
#D0C7B6	Oak Tone	橡调
#E0B695	Oakley Apricot	奥克利杏子
#6D7244	Oakmoss	橡苔
#BDA58B	Oakwood	奥克伍德
#8F716E	Oakwood Brown	奥克伍德棕
#648D95	Oarsman Blue	桨手蓝色
#0092A3	Oasis	绿洲
#FCEDC5	Oasis Sand	绿洲沙
#47A3C6	Oasis Spring	绿洲春
#A2EBD8	Oasis Stream	绿洲溪流
#E1CAB3	Oat Cake	燕麦饼
#C0AD89	Oat Field	燕麦田
#F7E4CD	Oat Flour	燕麦粉
#DEDACD	Oat Milk	燕麦奶
#F1D694	Oat Straw	燕麦秸秆
#C8B9A4	Oatbran	燕麦麸
#4A465A	Oath	誓言
#C9C1B1	Oatmeal	燕麦
#DDC7A2	Oatmeal Bath	燕麦浴
#B7A86D	Oatmeal Biscuit	燕麦饼干
#EADAC6	Oatmeal Cookie	燕麦饼干
#E7BF81	Oats and Honey	燕麦和蜂蜜
#FCD389	Oberon	奥布朗
#E7C492	Oberon on the Beach	海滩上的奥布朗
#B0A3B6	Obi Lilac	奥比丁香
#B7A8A8	Object of Desire	欲望的对象
#BBC6DE	Objectivity	客观性
#54645C	Obligation	义务
#000435	Oblivion	遗忘
#88654E	Obscure Ochre	暗赭色
#771908	Obscure Ogre	晦涩的食人魔
#4A5D23	Obscure Olive	晦涩的橄榄
#BB5500	Obscure Orange	暗橙
#9D0759	Obscure Orchid	暗淡兰花
#008F70	Observatory	天文台
#AE9550	Obsession	痴迷
#445055	Obsidian	黑曜石
#523E35	Obsidian Brown	黑曜石棕
#382B46	Obsidian Lava Black	黑曜石熔岩黑
#3F1D50	Obsidian Orchid	黑曜石兰花紫
#372A38	Obsidian Red	黑曜石红
#060313	Obsidian Shard	黑曜石碎片
#441166	Obsidian Shell	黑曜石壳
#3C3F40	Obsidian Stone	黑曜石
#D7552A	Obstinate Orange	顽固橙
#FFB077	Obtrusive Orange	突兀的橙色
#4B1E87	Occult	神秘学
#005493	Ocean	海洋
#221166	Ocean Abyss	海洋深渊
#DAE4ED	Ocean Air	海洋空气
#0077BE	Ocean Boat Blue	海洋船蓝
#A4C8C8	Ocean Boulevard	海洋大道
#D3E5EB	Ocean Breeze	海洋微风
#8CADCD	Ocean Bubble	海洋泡泡
#2B6C8E	Ocean Call	海洋呼唤
#7896BA	Ocean City	海洋城
#D6DDDD	Ocean Crest	海洋峰
#9CD4E1	Ocean Cruise	海洋巡航
#537783	Ocean Current	海洋洋流
#00657F	Ocean Depths	海洋深处
#D4DDE2	Ocean Dream	海洋梦
#B0BEC5	Ocean Drive	海洋大道
#AFC3BC	Ocean Droplet	海洋水滴
#A9C7CF	Ocean Eyes	海洋眼
#CAC8B4	Ocean Foam	海洋泡沫
#7A7878	Ocean Frigate	远洋护卫舰
#B8E3ED	Ocean Front	海滨
#C1CCC2	Ocean Froth	海洋泡沫
#3D9973	Ocean Green	海洋绿
#7FC1D8	Ocean Horizon	海洋地平线
#68DFBB	Ocean in a Bowl	碗里的海洋
#A4C3C5	Ocean Kiss	海洋吻
#189086	Ocean Liner	远洋客轮
#7D999F	Ocean Melody	海洋旋律
#00748F	Ocean Mirage	海洋海市蜃楼
#637195	Ocean Night	海洋夜
#006C68	Ocean Oasis	海洋绿洲
#D3CFBD	Ocean Pearl	海洋珍珠
#016072	Ocean Radiance	海洋光辉
#1F989B	Ocean Reef	海洋礁石
#7594B3	Ocean Ridge	海洋山岭
#E4D5CD	Ocean Sand	海洋沙
#5B7886	Ocean Shadow	海洋暗影
#34B5D5	Ocean Sigh	海洋叹息
#C8DCD5	Ocean Silk	海洋丝
#41767B	Ocean Slumber	海洋沉睡
#00878F	Ocean Soul	海洋灵魂
#005379	Ocean Spray	海洋浪花
#3F677E	Ocean Storm	海洋风暴
#79A2BD	Ocean Surf	海洋冲浪
#727C7E	Ocean Swell	海洋汹涌
#2E526A	Ocean Trapeze	海洋飞人
#62AEBA	Ocean Trip	海洋之旅
#67A6D4	Ocean Tropic	热带海洋
#729BB3	Ocean View	海洋景
#7DBCAA	Ocean Wave	海洋波浪
#6C6541	Ocean Weed	海洋杂草
#306A78	Ocean’s Embrace	海洋的拥抱
#4F6D82	Oceanic	海洋
#BBC8C9	Oceanic Climate	海洋性气候
#347284	Oceanic Metropolis	海洋都市
#1D5C83	Oceanic Motion	海洋运动
#172B36	Oceanic Noir	海洋黑色
#9AD6E5	Oceano	欧神诺
#415F61	Oceans Deep	海洋深处
#015A6B	Oceanside	欧申赛德
#90ABA8	Oceanus	俄刻阿诺斯
#F1E2C9	Ocelot	豹猫
#6B6047	Ochicha Latte	奥奇查拿铁
#D99E73	Ochraceous Salmon	赭色鲑鱼
#CC7722	Ochre	赭
#9F7B3E	Ochre Brown	赭棕
#CC7733	Ochre Maroon	赭栗色
#C77135	Ochre Pigment	赭颜料
#EEC987	Ochre Revival	赭复兴
#E96D03	Ochre Spice	赭辛香
#085B73	Octagon Ocean	八角海洋
#CCDD00	Octarine	八颗星
#C67533	October	十月
#E3C6A3	October Bounty	十月赏金
#D1BB98	October Harvest	十月丰收
#F8AC8C	October Haze	十月霾
#855743	October Leaves	十月叶
#8FA2A2	October Sky	十月天空
#357911	Odd Pea Pod	奇怪的豌豆荚
#B6E5D6	Ode to Green	绿色颂歌
#9D404A	Ode to Joy	欢乐颂
#A798C2	Ode to Purple	紫色颂歌
#FFDFBF	Odious Orange	可恶的橙子
#374A5A	Odyssey	奥德赛
#4C4E5D	Odyssey Grey	奥德赛灰
#D5C6CC	Odyssey Lilac	奥德赛丁香
#E1C2C5	Odyssey Plum	奥德赛梅花
#303030	Off Black	黑
#5684AE	Off Blue	蓝
#433F3D	Off Broadway	百老汇外
#6BA353	Off Green	绿
#D1CCCB	Off Shore	岸
#534C4B	Off the Beaten Path	不走寻常路
#9F9049	Off the Grid	脱离网络
#FFFFE4	Off White	白
#F1F33F	Off Yellow	黄
#003723	Off-Road Green	越野绿
#FFA259	Off-The-Leash Orange	脱绳橙
#D6D0C6	Offbeat	另类
#9C8B1F	Offbeat Green	另类绿色
#849DB4	Office Blue	办公室蓝色
#006C65	Office Blue Green	办公室蓝绿
#00800F	Office Green	办公室绿
#635D54	Office Grey	办公室灰色
#FF2277	Office Neon Light	办公室霓虹灯
#2E4182	Official Violet	官方紫罗兰
#CAD8D8	Offshore Mist	离岸薄雾
#FF714E	Often Orange	常橙色
#D7B235	Ogen Melon	奥根瓜
#FD5240	Ogre Odour	食人魔气味
#9DA94B	Ogryn Camo	欧格林迷彩
#D1A14E	Ogryn Wash	欧格林洗
#BBDAF8	Oh Boy!	男孩
#EDEEC5	Oh Dahling	哦大令
#E3C81C	Oh Em Ghee	哦酥油
#EEBB55	Oh My Gold	金
#ABCA99	Oh Pistachio	开心果绿
#F1C7D0	Oh so Pink	粉
#EAC7CB	Oh so Pretty	漂亮
#C74536	Oh so Red	红
#0180AB	Oh so Vo	哦如此
#313330	Oil	油
#678F8A	Oil Blue	油蓝
#7B7F68	Oil Green	油绿
#3B3131	Oil Grey	油灰
#FF5511	Oil on Fire	油火
#333144	Oil Rush	油涌
#031602	Oil Slick	浮油
#C2AB3F	Oil Yellow	油黄
#83BA8E	Oilcloth Green	油布绿
#6C5A51	Oiled Teak	涂油柚木
#996644	Oiled up Kardashian	涂油的卡戴珊
#C2BE0E	Oilseed Crops	油籽作物
#2D0F47	Oily Purple	油紫
#99AAAA	Oily Steel	油性钢
#5E644F	Oitake Green	大竹绿
#D07360	OK Corral	好的畜栏
#CD4600	ōkaihau Express	大开豪快车
#F5E0BA	Oklahoma Wheat	俄克拉荷马州小麦
#BA7D4C	Okonomiyaki Brown	御好烧棕色
#3E912D	Okra	秋葵
#40533D	Okroshka	奥克罗什卡
#EFCB96	Oktoberfest	慕尼黑啤酒节
#87868F	Old Amethyst	旧紫水晶
#616652	Old Army Helmet	旧军盔
#929000	Old Asparagus	旧芦笋
#769164	Old Bamboo	旧竹
#029386	Old Benchmark	旧基准
#DBC2AB	Old Bone	旧骨白
#7C644B	Old Boot	旧靴子
#5E624A	Old Botanical Garden	旧植物花园
#8A3335	Old Brick	旧砖
#330000	Old Brown Crayon	旧棕蜡笔
#43302E	Old Burgundy	旧勃艮第
#A8A89D	Old Celadon	旧青瓷
#E3D6E9	Old Chalk	旧粉笔
#DD6644	Old Cheddar	老切达干酪
#704241	Old Coffee	旧咖啡
#73503B	Old Copper	旧铜
#784430	Old Cumin	旧孜然
#BDAB9B	Old Doeskin	老杜斯金
#97694F	Old Driftwood	老浮木
#614051	Old Eggplant	旧茄紫
#CDC4BA	Old Eggshell	老蛋壳
#82A2BE	Old Faithful	老忠实泉
#F4C6CC	Old Fashioned Pink	老式粉色
#73486B	Old Fashioned Purple	老式紫色
#F2B7B5	Old Flame	旧焰
#757D43	Old Four Leaf Clover	旧四叶草
#C66787	Old Geranium	旧天竺葵
#002868	Old Glory Blue	旧荣光蓝
#BF0A30	Old Glory Red	旧荣光红
#CFB53B	Old Gold	旧金
#839573	Old Green	旧绿
#B4B6AD	Old Grey Mare	老灰母马
#B35E1F	Old Guitar	老吉他
#0063EC	Old Gungeon Red	老地牢红
#E66A77	Old Heart	旧心
#563C5C	Old Heliotrope	老天芥菜
#FFFFCB	Old Ivory	旧象牙
#EFF5DC	Old Kitchen White	旧厨房白色
#FDF5E6	Old Lace	旧蕾丝
#FDFC74	Old Laser Lemon	老激光柠檬
#796878	Old Lavender	旧薰衣草紫
#A88B66	Old Leather	旧皮革
#AEC571	Old Lime	旧青柠
#4A0100	Old Mahogany	旧桃花心木
#8E2323	Old Mandarin	旧柑橘
#D5C9BC	Old Map	旧地图
#673147	Old Mauve	旧淡紫
#343B4E	Old Mill	旧磨坊
#6E6F82	Old Mill Blue	旧磨坊蓝
#D8C2CA	Old Mission Pink	旧使命粉
#2C5C4F	Old Money	老钱
#5E5896	Old Nan Yarn	老楠纱
#F6EBD7	Old Pearls	旧珍珠
